PM2.5,PM10,Date&Time
  10mg/m3,  12mg/m3,2020-02-04 12:23:06
  10mg/m3,  11mg/m3,2020-02-04 12:23:11
   8mg/m3,  10mg/m3,2020-02-04 12:23:16
   8mg/m3,  10mg/m3,2020-02-04 12:23:21
   9mg/m3,  12mg/m3,2020-02-04 12:23:26
   9mg/m3,  11mg/m3,2020-02-04 12:23:31
   9mg/m3,  13mg/m3,2020-02-04 12:23:36
   9mg/m3,  12mg/m3,2020-02-04 12:23:41
   9mg/m3,  11mg/m3,2020-02-04 12:23:46
   8mg/m3,  10mg/m3,2020-02-04 12:23:51
   9mg/m3,  11mg/m3,2020-02-04 12:23:56
   8mg/m3,   9mg/m3,2020-02-04 12:24:01
   8mg/m3,  10mg/m3,2020-02-04 12:24:06
  10mg/m3,  12mg/m3,2020-02-04 12:24:11
  12mg/m3,  14mg/m3,2020-02-04 12:24:16
  11mg/m3,  12mg/m3,2020-02-04 12:24:21
  12mg/m3,  13mg/m3,2020-02-04 12:24:26
  11mg/m3,  12mg/m3,2020-02-04 12:24:31
  12mg/m3,  13mg/m3,2020-02-04 12:24:36
  11mg/m3,  12mg/m3,2020-02-04 12:24:41
  12mg/m3,  13mg/m3,2020-02-04 12:24:46
  13mg/m3,  14mg/m3,2020-02-04 12:24:51
  12mg/m3,  13mg/m3,2020-02-04 12:24:56
  11mg/m3,  12mg/m3,2020-02-04 12:25:01
  11mg/m3,  12mg/m3,2020-02-04 12:25:06
  10mg/m3,  11mg/m3,2020-02-04 12:25:11
  10mg/m3,  11mg/m3,2020-02-04 12:25:16
  12mg/m3,  14mg/m3,2020-02-04 12:25:21
  12mg/m3,  14mg/m3,2020-02-04 12:25:26
  11mg/m3,  13mg/m3,2020-02-04 12:25:31
  10mg/m3,  12mg/m3,2020-02-04 12:25:36
  10mg/m3,  11mg/m3,2020-02-04 12:25:41
   9mg/m3,  10mg/m3,2020-02-04 12:25:46
   8mg/m3,   9mg/m3,2020-02-04 12:25:51
   8mg/m3,   9mg/m3,2020-02-04 12:25:56
   8mg/m3,   9mg/m3,2020-02-04 12:26:01
   9mg/m3,  10mg/m3,2020-02-04 12:26:06
  10mg/m3,  11mg/m3,2020-02-04 12:26:11
  10mg/m3,  11mg/m3,2020-02-04 12:26:16
  10mg/m3,  11mg/m3,2020-02-04 12:26:21
  10mg/m3,  11mg/m3,2020-02-04 12:26:26
  11mg/m3,  12mg/m3,2020-02-04 12:26:31
   9mg/m3,  10mg/m3,2020-02-04 12:26:36
  10mg/m3,  11mg/m3,2020-02-04 12:26:41
  11mg/m3,  12mg/m3,2020-02-04 12:26:46
  11mg/m3,  13mg/m3,2020-02-04 12:26:51
  10mg/m3,  11mg/m3,2020-02-04 12:26:56
  12mg/m3,  13mg/m3,2020-02-04 12:27:01
   9mg/m3,  10mg/m3,2020-02-04 12:27:06
   9mg/m3,  10mg/m3,2020-02-04 12:27:11
  10mg/m3,  11mg/m3,2020-02-04 12:27:16
   9mg/m3,  10mg/m3,2020-02-04 12:27:21
   9mg/m3,  11mg/m3,2020-02-04 12:27:26
  10mg/m3,  11mg/m3,2020-02-04 12:27:31
  11mg/m3,  14mg/m3,2020-02-04 12:27:36
  11mg/m3,  14mg/m3,2020-02-04 12:27:36
  11mg/m3,  13mg/m3,2020-02-04 12:27:41
  11mg/m3,  14mg/m3,2020-02-04 12:27:46
  11mg/m3,  13mg/m3,2020-02-04 12:27:51
   9mg/m3,  13mg/m3,2020-02-04 12:27:56
  10mg/m3,  12mg/m3,2020-02-04 12:28:01
